opportunity_id,customer_account,product_group,mrr,stage,forecast_category,rep,sales_channel,created_date,close_date
OPP-00001,DigiPath,Dark Fiber,489.02,Closed Lost,Not In Forecast,David Park,Direct,06/21/2024,08/30/2024
OPP-00002,ByteWorks,Colocation,99.37,Closed Lost,Not In Forecast,Nicole Foster,Direct,03/24/2024,05/18/2024
OPP-00003,IronGate Tech,Cloud Connect,2453.39,Closed Lost,Not In Forecast,David Park,Direct,05/01/2024,09/10/2024
OPP-00004,EchoPoint,Wavelengths,691.6,Closed Lost,Not In Forecast,Chris Weber,Direct,05/03/2024,07/15/2024
OPP-00005,FlexNet Solutions,Wavelengths,137.39,Closed Lost,Not In Forecast,Lisa Chen,Direct,02/02/2026,02/23/2026
OPP-00010,TerraLink,DDoS Protection,613.48,Closed Lost,Not In Forecast,Nicole Foster,Channel,09/18/2025,12/10/2025
OPP-00014,CoreConnect,IP Transit,2196.08,Closed Lost,Not In Forecast,Jessica Kim,Agent,01/31/2025,05/28/2025
OPP-00017,NexGen Telecom,Managed Services,300.31,Closed Lost,Not In Forecast,Chris Weber,Direct,05/12/2024,11/08/2024
OPP-00018,FiberLink,Dark Fiber,102.6,Closed Lost,Not In Forecast,Chris Weber,Agent,08/08/2024,12/09/2024
OPP-00020,EchoPoint,Dark Fiber,18.73,Closed Lost,Not In Forecast,Sarah Mitchell,Direct,06/26/2025,09/22/2025
OPP-00032,NexGen Telecom,SD-WAN,17.9,Closed Lost,Not In Forecast,Mark Thompson,Agent,07/02/2025,10/14/2025
OPP-00036,GridForce,SD-WAN,298.7,Closed Lost,Not In Forecast,Jose Banales,Agent,01/27/2026,02/26/2026
OPP-00038,TerraLink,IP Transit,241.97,Closed Lost,Not In Forecast,Nicole Foster,Agent,11/01/2025,02/25/2026
OPP-00040,FlexNet Solutions,Colocation,638.28,Closed Lost,Not In Forecast,Nicole Foster,Channel,10/07/2024,11/28/2024
OPP-00042,TerraLink,Managed Services,840.28,Closed Lost,Not In Forecast,Chris Weber,Direct,08/30/2025,01/10/2026
OPP-00043,CloudFirst,Colocation,921.6,Closed Lost,Not In Forecast,Lisa Chen,Direct,08/16/2025,12/18/2025
OPP-00048,SilverStream,Ethernet,140.98,Closed Lost,Not In Forecast,Jessica Kim,Direct,05/06/2025,07/02/2025
OPP-00060,SwiftNode,Dark Fiber,688.79,Closed Lost,Not In Forecast,Sarah Mitchell,Channel,10/05/2025,03/04/2026
