customer_account,total_brr,sales_owner,mega_vertical
DigiPath,341498.52,Jessica Kim,Education
ByteWorks,372605.5,Lisa Chen,Mid-Market
IronGate Tech,108368.8,Jessica Kim,Education
EchoPoint,60583.05,Lisa Chen,Government
FlexNet Solutions,214045.18,Jose Banales,Enterprise
NetScale Systems,249207.59,David Park,Government
CloudFirst,126343.88,Sarah Mitchell,Mid-Market
VectorData,341354.06,Amy Rodriguez,Enterprise
Summit Cloud,301621.19,Jose Banales,Government
TerraLink,172802.15,Chris Weber,Enterprise
ClearPath,424287.33,Lisa Chen,Enterprise
HorizonIO,285898.24,Mark Thompson,Enterprise
CoreConnect,229263.7,David Park,Enterprise
SkyBridge Networks,445322.73,Jose Banales,Mid-Market
NexGen Telecom,338757.24,Amy Rodriguez,Education
FiberLink,166414.22,Sarah Mitchell,Education
PulseNet,444888.17,Jose Banales,Enterprise
Zenith Systems,156660.52,Mark Thompson,Education
Atlas Computing,412128.29,Chris Weber,Enterprise
RedRock Data,207228.93,Amy Rodriguez,Government
SignalBridge,299284.54,Ryan O'Brien,Enterprise
DataSync Labs,473832.05,Lisa Chen,Education
BluePeak,397783.51,Ryan O'Brien,Government
SilverStream,266917.74,Jessica Kim,Government
GridForce,53281.12,Nicole Foster,Education
Apex Digital,153307.43,Chris Weber,Education
TechFlow Inc,147160.48,Lisa Chen,Education
StarForge,378228.72,Lisa Chen,Mid-Market
WavePoint,217343.06,David Park,Mid-Market
LinkStream,231311.11,Chris Weber,Mid-Market
Cascade Networks,134820.02,Jessica Kim,Enterprise
Quantum Networks,374727.01,David Park,Education
SwiftNode,104389.53,Chris Weber,Enterprise
OmniConnect,233186.78,David Park,Government
Titanium Labs,220898.69,Chris Weber,Government
PrimeRoute,489208.04,Chris Weber,Mid-Market
CopperLine,286187.75,Jose Banales,Government
Pinnacle IT,363482.35,Lisa Chen,Education
GoldGrid,174513.32,Lisa Chen,Government
Acme Corp,401361.43,Mark Thompson,Government
