opportunity_id,customer_account,product_group,mrr,stage,forecast_category,rep,sales_channel,created_date,close_date
OPP-00007,CloudFirst,Ethernet,123.79,5 - Accepted,Closed,Jose Banales,Channel,01/05/2026,03/13/2026
OPP-00008,VectorData,IP Transit,1577.49,5 - Accepted,Closed,Lisa Chen,Agent,10/28/2024,12/17/2024
OPP-00011,ClearPath,Wavelengths,410.63,5 - Accepted,Closed,David Park,Channel,12/18/2025,02/19/2026
OPP-00012,Summit Cloud,MPLS,600.83,Closed Won,Closed,Lisa Chen,Direct,07/10/2024,10/25/2024
OPP-00015,SkyBridge Networks,Managed Services,484.63,5 - Accepted,Closed,Ryan O'Brien,Channel,12/24/2025,01/23/2026
OPP-00016,ByteWorks,Wavelengths,204.8,5 - Accepted,Closed,Jose Banales,Channel,10/23/2025,03/02/2026
OPP-00021,IronGate Tech,Colocation,575.97,Closed Won,Closed,Jessica Kim,Direct,02/02/2025,03/03/2025
OPP-00023,Zenith Systems,Wavelengths,270.59,Closed Won,Closed,Nicole Foster,Direct,09/04/2025,12/08/2025
OPP-00024,VectorData,Ethernet,116.68,5 - Accepted,Closed,Amy Rodriguez,Direct,05/31/2024,06/17/2024
OPP-00025,Atlas Computing,MPLS,126.18,5 - Accepted,Closed,Nicole Foster,Direct,05/27/2024,08/12/2024
OPP-00027,VectorData,Wavelengths,708.05,Closed Won,Closed,Sarah Mitchell,Agent,12/27/2025,03/01/2026
OPP-00029,SignalBridge,Managed Services,221.03,Closed Won,Closed,Ryan O'Brien,Agent,06/01/2025,07/18/2025
OPP-00037,Apex Digital,Wavelengths,1003.36,5 - Accepted,Closed,David Park,Agent,09/30/2024,01/30/2025
OPP-00045,RedRock Data,Ethernet,17.13,5 - Accepted,Closed,David Park,Channel,06/08/2024,07/28/2024
OPP-00046,WavePoint,Ethernet,266.17,5 - Accepted,Closed,Chris Weber,Agent,05/17/2025,06/16/2025
OPP-00049,Atlas Computing,IP Transit,90.11,Closed Won,Closed,Nicole Foster,Agent,07/03/2025,09/02/2025
OPP-00050,CloudFirst,SD-WAN,151.7,5 - Accepted,Closed,Chris Weber,Channel,07/12/2025,07/31/2025
OPP-00064,Titanium Labs,SD-WAN,387.54,Closed Won,Closed,Jessica Kim,Channel,05/11/2024,07/03/2024
OPP-00068,FlexNet Solutions,Managed Services,287.61,Closed Won,Closed,Sarah Mitchell,Agent,01/10/2026,03/04/2026
OPP-00069,PrimeRoute,IP Transit,318.7,5 - Accepted,Closed,Sarah Mitchell,Direct,01/23/2025,05/21/2025
OPP-00078,PrimeRoute,DDoS Protection,2108.73,5 - Accepted,Closed,Amy Rodriguez,Agent,01/22/2026,02/18/2026
OPP-00084,FiberLink,Managed Services,956.0,5 - Accepted,Closed,Mark Thompson,Agent,04/05/2025,08/08/2025
OPP-00088,FlexNet Solutions,SD-WAN,843.3,Closed Won,Closed,Jose Banales,Agent,03/13/2025,05/23/2025
OPP-00095,HorizonIO,DDoS Protection,143.63,5 - Accepted,Closed,Sarah Mitchell,Direct,09/19/2025,11/07/2025
OPP-00099,Quantum Networks,Ethernet,848.37,Closed Won,Closed,Nicole Foster,Direct,10/06/2025,12/13/2025
OPP-00105,DigiPath,Colocation,1237.71,5 - Accepted,Closed,Lisa Chen,Channel,06/23/2024,09/26/2024
OPP-00115,IronGate Tech,IP Transit,581.49,5 - Accepted,Closed,Mark Thompson,Channel,01/02/2026,03/08/2026
OPP-00117,Zenith Systems,SD-WAN,436.23,Closed Won,Closed,Amy Rodriguez,Direct,03/10/2025,06/22/2025
OPP-00118,WavePoint,Ethernet,1910.29,Closed Won,Closed,Sarah Mitchell,Direct,09/15/2024,03/09/2025
OPP-00120,NetScale Systems,Managed Services,290.26,Closed Won,Closed,Jessica Kim,Agent,07/03/2025,11/10/2025
OPP-00123,ClearPath,Wavelengths,575.57,5 - Accepted,Closed,Ryan O'Brien,Agent,01/01/2025,04/25/2025
OPP-00132,SignalBridge,SD-WAN,1834.59,Closed Won,Closed,Jessica Kim,Agent,04/27/2025,09/17/2025
OPP-00133,SkyBridge Networks,Ethernet,2965.34,Closed Won,Closed,Chris Weber,Direct,08/14/2024,10/03/2024
OPP-00137,NexGen Telecom,IP Transit,57.97,5 - Accepted,Closed,David Park,Channel,09/05/2025,12/21/2025
OPP-00142,Pinnacle IT,SD-WAN,1245.37,Closed Won,Closed,Jose Banales,Agent,07/23/2024,11/09/2024
OPP-00143,IronGate Tech,DDoS Protection,104.88,5 - Accepted,Closed,Jessica Kim,Channel,12/16/2024,01/21/2025
OPP-00151,OmniConnect,Wavelengths,1594.1,Closed Won,Closed,Ryan O'Brien,Agent,08/20/2025,10/31/2025
OPP-00155,Summit Cloud,Dark Fiber,1281.13,5 - Accepted,Closed,Sarah Mitchell,Agent,08/31/2025,11/26/2025
OPP-00161,DigiPath,SD-WAN,1463.24,5 - Accepted,Closed,Jessica Kim,Direct,08/28/2024,12/04/2024
OPP-00163,Summit Cloud,Managed Services,368.95,5 - Accepted,Closed,Lisa Chen,Direct,01/16/2026,03/08/2026
OPP-00164,EchoPoint,Dark Fiber,950.2,5 - Accepted,Closed,Sarah Mitchell,Channel,05/02/2025,05/30/2025
OPP-00165,Titanium Labs,Colocation,858.94,5 - Accepted,Closed,Lisa Chen,Channel,12/16/2025,03/14/2026
OPP-00167,Summit Cloud,DDoS Protection,1483.03,5 - Accepted,Closed,Ryan O'Brien,Direct,08/17/2024,02/03/2025
OPP-00168,Summit Cloud,IP Transit,596.82,5 - Accepted,Closed,Amy Rodriguez,Agent,08/21/2025,01/19/2026
OPP-00173,Apex Digital,IP Transit,534.08,5 - Accepted,Closed,Jessica Kim,Agent,11/25/2024,02/19/2025
OPP-00182,GoldGrid,DDoS Protection,189.6,Closed Won,Closed,Chris Weber,Agent,02/12/2025,05/01/2025
OPP-00183,Acme Corp,SD-WAN,92.64,5 - Accepted,Closed,Chris Weber,Direct,03/29/2024,06/18/2024
OPP-00184,SkyBridge Networks,Ethernet,1193.06,5 - Accepted,Closed,Jose Banales,Agent,01/14/2025,05/03/2025
OPP-00187,Summit Cloud,Ethernet,149.27,5 - Accepted,Closed,Nicole Foster,Agent,11/05/2025,03/15/2026
OPP-00188,Summit Cloud,Managed Services,584.0,Closed Won,Closed,Jose Banales,Channel,01/27/2025,02/16/2025
OPP-00189,Zenith Systems,SD-WAN,286.62,5 - Accepted,Closed,Jose Banales,Agent,05/18/2024,06/19/2024
OPP-00190,Pinnacle IT,Dark Fiber,37.4,5 - Accepted,Closed,David Park,Channel,06/20/2025,10/09/2025
OPP-00196,PulseNet,DDoS Protection,956.84,5 - Accepted,Closed,Ryan O'Brien,Channel,05/18/2025,09/14/2025
